year,month,day,0000,0300,0600,0900,1200,1500,1800,2100,Date_Number
1994,01,01,3,3,4,5,4,3,2,2,19940101
1994,01,02,2,3,4,4,5,3,3,2,19940102
1994,01,03,3,1,3,3,3,3,3,1,19940103
1994,01,04,1,3,2,2,2,1,1,2,19940104
1994,01,05,1,1,1,2,2,2,1,2,19940105
1994,01,06,3,3,3,3,3,3,1,2,19940106
1994,01,07,1,1,1,3,3,1,2,1,19940107
1994,01,08,1,2,3,3,3,2,2,1,19940108
1994,01,09,1,1,2,1,2,2,2,1,19940109
1994,01,10,2,1,1,1,2,1,1,1,19940110
1994,01,11,2,1,3,3,2,5,4,3,19940111
1994,01,12,4,4,3,4,4,4,3,3,19940112
1994,01,13,4,4,3,3,5,3,3,4,19940113
1994,01,14,3,3,4,4,4,3,3,3,19940114
1994,01,15,3,4,3,2,3,3,3,3,19940115
1994,01,16,2,3,4,3,3,3,3,2,19940116
1994,01,17,4,5,4,4,2,3,3,3,19940117
1994,01,18,3,3,3,3,5,5,3,3,19940118
1994,01,19,3,5,5,3,4,2,3,3,19940119
1994,01,20,3,3,3,3,3,2,3,2,19940120
1994,01,21,2,3,1,1,1,2,3,2,19940121
1994,01,22,3,2,1,2,2,1,2,2,19940122
1994,01,23,2,2,1,2,2,1,2,2,19940123
1994,01,24,2,1,1,2,0,1,1,1,19940124
1994,01,25,1,2,1,1,2,1,1,1,19940125
1994,01,26,1,3,5,3,4,4,3,2,19940126
1994,01,27,2,3,4,3,3,4,3,3,19940127
1994,01,28,4,3,3,5,3,2,2,1,19940128
1994,01,29,1,2,3,3,3,2,1,2,19940129
1994,01,30,3,1,2,3,3,3,3,1,19940130
1994,01,31,2,1,3,2,2,2,2,3,19940131
1994,02,01,2,1,2,3,2,1,1,1,19940201
1994,02,02,1,2,3,4,5,3,2,3,19940202
1994,02,03,1,2,3,3,3,3,2,1,19940203
1994,02,04,1,2,2,2,3,2,3,2,19940204
1994,02,05,3,2,3,5,4,4,3,4,19940205
1994,02,06,4,4,3,6,6,7,5,5,19940206
1994,02,07,4,6,4,7,6,5,5,3,19940207
1994,02,08,6,5,6,6,6,4,5,5,19940208
1994,02,09,4,4,4,5,4,4,5,5,19940209
1994,02,10,4,5,5,5,4,3,3,4,19940210
1994,02,11,4,5,5,6,5,5,4,4,19940211
1994,02,12,4,5,4,4,6,4,4,4,19940212
1994,02,13,4,3,3,5,4,5,5,4,19940213
1994,02,14,4,4,4,3,3,5,4,4,19940214
1994,02,15,4,3,3,3,5,3,3,3,19940215
1994,02,16,3,4,3,3,3,3,3,2,19940216
1994,02,17,2,2,3,3,2,2,2,2,19940217
1994,02,18,2,2,2,3,2,2,1,3,19940218
1994,02,19,3,3,4,4,3,3,4,3,19940219
1994,02,20,4,3,3,3,3,2,2,2,19940220
1994,02,21,2,2,3,7,7,7,5,6,19940221
1994,02,22,7,6,4,5,4,3,3,3,19940222
1994,02,23,2,3,3,3,2,2,3,2,19940223
1994,02,24,1,1,1,2,2,1,2,1,19940224
1994,02,25,1,2,5,4,2,2,3,2,19940225
1994,02,26,2,1,2,2,2,1,1,1,19940226
1994,02,27,1,2,3,3,2,1,2,0,19940227
1994,02,28,1,1,3,3,2,1,2,3,19940228
1994,03,01,3,1,4,3,2,2,2,3,19940301
1994,03,02,3,1,2,3,3,2,3,4,19940302
1994,03,03,3,4,5,6,4,1,2,2,19940303
1994,03,04,1,1,1,2,1,1,1,1,19940304
1994,03,05,1,1,1,2,1,1,2,3,19940305
1994,03,06,2,2,3,3,1,2,2,3,19940306
1994,03,07,5,3,5,6,5,5,6,5,19940307
1994,03,08,5,6,6,5,4,5,4,4,19940308
1994,03,09,4,6,7,5,5,5,5,5,19940309
1994,03,10,4,4,6,5,4,4,4,5,19940310
1994,03,11,5,5,5,5,4,4,3,4,19940311
1994,03,12,4,4,6,5,5,3,4,4,19940312
1994,03,13,5,5,3,4,3,3,3,4,19940313
1994,03,14,4,5,5,4,4,4,4,4,19940314
1994,03,15,5,6,5,5,5,5,4,4,19940315
1994,03,16,4,3,4,3,3,4,3,3,19940316
