Day,Month,Year,Time,Max_Time(UTC),>10MeV_Max(pfu),Flare_Max(UTC),Flare_Level,Date_Number,0000,0300,0600,0900,1200,1500,1800,2100
30,4,1976,2120,1976 05/01 1700,12,2B 4/30 2114,X2,19760430,0,0,0,0,0,0,0,0
19,9,1977,1430,1977 09/19 2130,200,3B 09/19 1054,X2,19770919,0,0,0,0,0,0,0,0
22,11,1977,1400,1977 11/22 1800,160,2N 11/22 1006,X1,19771122,0,0,0,0,0,0,0,0
13,2,1978,930,1978 02/14 1000,850,0B 02/13 0255,M7,19780213,0,0,0,0,0,0,0,0
11,4,1978,1530,1978 04/11 1630,65,2B 0411 1353,X2,19780411,0,0,0,0,0,0,0,0
29,4,1978,445,1978 04/30 2000,1000,4B 04/28 1306,X5,19780429,0,0,0,0,0,0,0,0
7,5,1978,420,1978 05/07 0420,100,2B 05/07 0330,X2,19780507,0,0,0,0,0,0,0,0
2,6,1978,730,1978 06/02 0935,19,2B 05/31 1009,M5,19780602,0,0,0,0,0,0,0,0
24,6,1978,900,1978 06/25 0230,25,3B 06/22 1709,M2,19780624,0,0,0,0,0,0,0,0
13,7,1978,300,1978 07/13 1000,20,,,19780713,0,0,0,0,0,0,0,0
23,9,1978,1035,1978 09/24 0400,2200,3B 09/23 1023,X1,19780923,0,0,0,0,0,0,0,0
10,11,1978,2130,1978 11/10 2205,38,2N 11/10 0042,M1,19781110,0,0,0,0,0,0,0,0
17,2,1979,2020,1979 02/17 2205,31,2B 02/16 0200,X2,19790217,0,0,0,0,0,0,0,0
3,4,1979,1600,1979 04/03 2310,45,,,19790403,0,0,0,0,0,0,0,0
6,6,1979,1850,1979 06/07 0005,950,1N 06/05 0529,X2,19790606,0,0,0,0,0,0,0,0
7,7,1979,15,1979 07/07/1010,50,,,19790707,0,0,0,0,0,0,0,0
19,8,1979,850,1979 08/21 0740,500,1B 08/18 1416,X6,19790819,0,0,0,0,0,0,0,0
15,9,1979,1500,1979 09/16 1200,60,N/A 09/14 0802,X2,19790915,0,0,0,0,0,0,0,0
16,11,1979,430,1979 11/16 1300,75,0B 11/15 1639,M1,19791116,0,0,0,0,0,0,0,0
6,2,1980,1340,1980 02/06 1850,12,,,19800206,0,0,0,0,0,0,0,0
17,7,1980,2300,1980 07/19 1930,100,1B 07/17 0603,M3,19800717,0,0,0,0,0,0,0,0
30,3,1981,900,1981 03/30 2115,30,2N 03/30 0049,M3,19810330,0,0,0,0,0,0,0,0
10,4,1981,1745,1981 04/11 1400,50,3B 04/10 1655,X2,19810410,0,0,0,0,0,0,0,0
24,4,1981,1515,1981 04/24 2330,160,2B 04/24 1400,X5,19810424,0,0,0,0,0,0,0,0
9,5,1981,1200,1981 05/10 2130,150,2B 05/08 2252,M7,19810509,0,0,0,0,0,0,0,0
15,5,1981,300,1981 05/16 1950,130,3B 05/13 0425,X1,19810515,0,0,0,0,0,0,0,0
20,7,1981,1430,1981 07/20 1825,100,1B 07/20 1329,M5,19810720,0,0,0,0,0,0,0,0
25,7,1981,600,1981 07/25 1320,18,,,19810725,0,0,0,0,0,0,0,0
10,8,1981,115,1981 08/10 0435,57,2B 08/07 1916,M4,19810810,0,0,0,0,0,0,0,0
8,10,1981,1235,1981 10/13 2247,2000,1B 10/07 2308,X3,19811008,0,0,0,0,0,0,0,0
10,12,1981,545,1981 12/11 0900,65,3B 12/09 1854,M5,19811210,0,0,0,0,0,0,0,0
31,1,1982,55,1982 01/31 1630,830,3B 01/30 2358,X1,19820131,0,0,0,0,0,0,0,0
6,6,1982,245,1982 06/06 0245,10,2B 06/03 1146,X8,19820606,0,0,0,0,0,0,0,0
9,6,1982,40,1982 06/09 0510,30,3B 06/06 1654,X12,19820609,0,0,0,0,0,0,0,0
11,7,1982,700,1982 07/13 1615,2900,3B 07/09 0742,X9,19820711,0,0,0,0,0,0,0,0
22,7,1982,2030,1982 07/23 0220,240,0F 07/22 1734,M4,19820722,0,0,0,0,0,0,0,0
5,9,1982,2205,1982 09/06 0100,66,3N 09/04 0400,M4,19820905,0,0,0,0,0,0,0,0
22,11,1982,1940,1982 11/22 2140,40,1N 11/22 1828,M7,19821122,0,0,0,0,0,0,0,0
26,11,1982,605,1982 11/26 1500,25,2B 11/26 0253,X4,19821126,0,0,0,0,0,0,0,0
8,12,1982,10,1982 12/08 1000,1000,1B 12/07 2354,X2,19821208,0,0,0,0,0,0,0,0
17,12,1982,1845,1982 12/18 0945,130,2B 12/15 0202,X12,19821217,0,0,0,0,0,0,0,0
19,12,1982,1920,1982 12/20 0515,85,2B 12/19 1624,M9,19821219,0,0,0,0,0,0,0,0
27,12,1982,600,1982 12/27 1345,190,1B 12/25 0752,X2,19821227,0,0,0,0,0,0,0,0
3,2,1983,1200,1983 02/04 1620,340,3B 02/03 0619,X4,19830203,0,0,0,0,0,0,0,0
15,6,1983,435,1983 06/15 1800,18,A 06/14,N,19830615,0,0,0,0,0,0,0,0
16,2,1984,915,1984 02/16 1005,660,,,19840216,0,0,0,0,0,0,0,0
19,2,1984,1310,1984 02/21 1415,55,2B 02/17 2301,X2,19840219,0,0,0,0,0,0,0,0
13,3,1984,1440,1984 03/13 1450,10,,,19840313,0,0,0,0,0,0,0,0
14,3,1984,405,1984 03/14 0505,100,1B 03/14 0334,M2,19840314,0,0,0,0,0,0,0,0
25,4,1984,1330,1984 04/26 1420,2500,3B 04/25 0025,X13,19840425,0,0,0,0,0,0,0,0
24,5,1984,1045,1984 05/24 1140,31,2B 05/22 1503,M6,19840524,0,0,0,0,0,0,0,0
31,5,1984,1315,1984 05/31 1415,14,?? 05/31 1142,M1,19840531,0,0,0,0,0,0,0,0
22,1,1985,415,1985 01/22 0550,14,2B 01/21 2350,X4,19850122,0,0,0,0,0,0,0,0
25,4,1985,1430,1985 04/26 0600,160,3B 04/24 0935,X1,19850425,0,0,0,0,0,0,0,0
9,7,1985,235,1985 07/09 0325,140,1B 07/09 0204,M2,19850709,0,0,0,0,0,0,0,0
6,2,1986,825,1986 02/07 1730,50,3B 02/06 0625,X1,19860206,0,0,0,0,0,0,0,0
7,2,1986,1310,1986 02/07 1750,77,2B 02/07 0913,M5,19860207,0,0,0,0,0,0,0,0
14,2,1986,1455,1986 02/14 2110,111,1N 02/14 0929,M6,19860214,0,0,0,0,0,0,0,0
6,3,1986,1835,1986 03/06 1930,13,1F 03/06 1703,C4,19860306,0,0,0,0,0,0,0,0
4,5,1986,1835,1986 05/04 1930,16,,,19860504,0,0,0,0,0,0,0,0
8,11,1987,145,1987 11/08 0945,41,N/A 11/07 2013,M1,19871108,0,0,0,0,0,0,0,0
3,1,1988,100,1988 01/03 0730,32,3B 01/02 2144,X1,19880103,0,0,0,0,0,0,0,0
25,3,1988,2250,1988 03/25 2310,33,N/A 03/25 2153,C4,19880325,0,0,0,0,0,0,0,0
30,6,1988,1125,1988 06/30 1135,12,2B 06/30 0905,M9,19880630,0,0,0,0,0,0,0,0
26,8,1988,30,1988 08/26 0045,12,SF 08/23 1735,M2,19880826,0,0,0,0,0,0,0,0
12,10,1988,920,1988 10/12 0930,12,,,19881012,0,0,0,0,0,0,0,0
8,11,1988,2225,1988 11/09 0810,13,,,19881108,0,0,0,0,0,0,0,0
14,11,1988,130,1988 11/14 0310,13,,,19881114,0,0,0,0,0,0,0,0
17,12,1988,2220,1988 12/18 0150,12,1B 12/16 0845,X4,19881217,0,0,0,0,0,0,0,0
4,1,1989,2305,1989 01/05 0130,28,,,19890104,0,0,0,0,0,0,0,0
8,3,1989,1755,1989 03/10 0000,137,3B 03/06 1406,X15,19890308,0,0,0,0,0,0,0,0
10,3,1989,2205,1989 03/13 0645,1860,3B 03/17 1744,X4,19890310,0,0,0,0,0,0,0,0
17,3,1989,1900,1989 03/18 0920,1250,2B 03/17 1743,X6,19890317,0,0,0,0,0,0,0,0
23,3,1989,2055,1989 03/23 2220,29,3B 03/23 1958,X1,19890323,0,0,0,0,0,0,0,0
11,4,1989,1555,1989 04/12 0005,218,SF 04/10 2323,M1,19890411,0,0,0,0,0,0,0,0
5,5,1989,905,1989 05/05 1000,27,,,19890505,0,0,0,0,0,0,0,0
6,5,1989,615,1989 05/06 1055,47,3B 05/05 0736,X2,19890506,0,0,0,0,0,0,0,0
23,5,1989,1135,1989 05/23 1358,68,,,19890523,0,0,0,0,0,0,0,0
24,5,1989,730,1989 05/24 0905,15,,,19890524,0,0,0,0,0,0,0,0
18,6,1989,1650,1989 06/18 1910,18,,,19890618,0,0,0,0,0,0,0,0
30,6,1989,655,1989 06/30 0710,17,,,19890630,0,0,0,0,0,0,0,0
