Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
1976 04/30 2120,1976 05/01 1700,12,700,S09W47,2B 4/30 2114,X2,NA,NA,NA,NA
1977 09/19 1430,1977 09/19 2130,200,889,N08W58,3B 09/19 1054,X2,NA,NA,NA,NA
1977 11/22 1400,1977 11/22 1800,160,939,N24W38,2N 11/22 1006,X1,NA,NA,NA,NA
1978 02/13 0930,1978 02/14 1000,850,1001,N22W13,0B 02/13 0255,M7,NA,NA,NA,NA
1978 04/11 1530,1978 04/11 1630,65,1057,N18W54,2B 0411 1353,X2,NA,NA,NA,NA
1978 04/29 0445,1978 04/30 2000,"1,000",1092,N22E41,4B 04/28 1306,X5,NA,NA,NA,NA
1978 05/07 0420,1978 05/07 0420,100,1095,N22W64,2B 05/07 0330,X2,NA,NA,NA,NA
1978 06/02 0730,1978 06/02 0935,19,1129,N23W50,2B 05/31 1009,M5,NA,NA,NA,NA
1978 06/24 0900,1978 06/25 0230,25,1164,N19E18,3B 06/22 1709,M2,NA,NA,NA,NA
1978 07/13 0300,1978 07/13 1000,20,NA,NA,,NA,NA,NA,NA,NA
1978 09/23 1035,1978 09/24 0400,"2,200",1294,N35W50,3B 09/23 1023,X1,NA,NA,NA,NA
1978 11/10 2130,1978 11/10 2205,38,1385,N17E02,2N 11/10 0042,M1,NA,NA,NA,NA
1979 02/17 2020,1979 02/17 2205,31,1574,N15E48,2B 02/16 0200,X2,NA,NA,NA,NA
1979 04/03 1600,1979 04/03 2310,45,NA,NA,,NA,NA,NA,NA,NA
1979 06/06 1850,1979 06/07 0005,950,1781,N20E16,1N 06/05 0529,X2,NA,NA,NA,NA
1979 07/07 0015,1979 07/07/1010,50,NA,NA,,NA,NA,NA,NA,NA
1979 08/19 0850,1979 08/21 0740,500,1943,N10E90,1B 08/18 1416,X6,NA,NA,NA,NA
1979 09/15 1500,1979 09/16 1200,60,1994,N10E90,N/A 09/14 0802,X2,NA,NA,NA,NA
1979 11/16 0430,1979 11/16 1300,75,2110,N34W25,0B 11/15 1639,M1,NA,NA,NA,NA
1980 02/06 1340,1980 02/06 1850,12,NA,NA,,NA,NA,NA,NA,NA
1980 07/17 2300,1980 07/19 1930,100,2562,S12E06,1B 07/17 0603,M3,NA,NA,NA,NA
1981 03/30 0900,1981 03/30 2115,30,2993,N13W74,2N 03/30 0049,M3,NA,NA,NA,NA
1981 04/10 1745,1981 04/11 1400,50,3025,N08W38,3B 04/10 1655,X2,NA,NA,NA,NA
