Sentence,Title,SourceTextType
the power grid and satellites might be affected and auroras could be visible in northern areas,CombinedMessages,dashboardMessages
power systems in northern areas might have voltage issues and equipment could be damaged by storms,CombinedMessages,dashboardMessages
satellites may need direction adjustments,CombinedMessages,dashboardMessages
hf radio signals might weaken and northern lights could be seen as far south as new york and idaho,CombinedMessages,dashboardMessages
power systems may need voltage fixes and some safety devices could trigger by mistake,CombinedMessages,dashboardMessages
satellites might build up charge face more drag and need direction adjustments,CombinedMessages,dashboardMessages
radio signals could cut in and out and northern lights might be visible as far south as illinois and oregon,CombinedMessages,dashboardMessages
there could be voltage control issues with safety systems mistakenly shutting down parts of the power grid,CombinedMessages,dashboardMessages
satellites might build up charge have tracking problems and need direction adjustments,CombinedMessages,dashboardMessages
pipeline currents may occur hf radio signals could be unstable satellite navigation might stop for hours lowfrequency radio could be interrupted and the northern lights might be visible as far south as alabama and california,CombinedMessages,dashboardMessages
there could be major voltage issues causing power grids to fail and transformers to get damaged,CombinedMessages,dashboardMessages
satellites might have surface charging direction problems and signal issues,CombinedMessages,dashboardMessages
pipeline currents can be strong hf radio may not work for one to two days satellite navigation could be affected for days lowfrequency radio may be down for hours and the northern lights might be visible as far south as florida and southern texas,CombinedMessages,dashboardMessages
hf radio communication and lowfrequency navigation signals may occasionally cut out on the sunlit side of earth hf radio communication and lowfrequency navigation signals may be weak or lost for several minutes on the sunlit side of the earth,CombinedMessages,dashboardMessages
hf radio communication and lowfrequency navigation signals may be weak or lost for about an hour on the sunlit side of earth hf radio communication lowfrequency navigation signals and satellite navigation may be disrupted on the sunlit side of earth for one to two hours causing positioning errors hf radio communication and lowfrequency navigation signals may be lost on the sunlit side of earth for several hours disrupting contact with ships and planes and causing positioning errors,CombinedMessages,dashboardMessages
satellite navigation may also experience increased errors which could affect the night side as well,CombinedMessages,dashboardMessages
hf radio communications may have small issues in polar regions satellite operations may have small disruptions and hf radio signals and navigation in the polar regions could be slightly affected satellites may have small issues like noisy images and lower solar panel power,CombinedMessages,dashboardMessages
hf radio signals in polar regions may be weak and navigation errors are likely,CombinedMessages,dashboardMessages
satellites may have memory issues noisy images orientation problems and lower solar panel efficiency,CombinedMessages,dashboardMessages
hf radio communication in polar regions may be lost and navigation errors happen for several days satellites may stop working have memory issues noisy image data startracker failures and possible solar panel damage,CombinedMessages,dashboardMessages
hf communication may be lost in the polar regions making navigation very difficult due to position errors,CombinedMessages,dashboardMessages
