Document,Word,DocumentIndex,WordIndex,TfidfValue,WordDifficultyScore,WordDifficulty
Academic Articles,future,0,1004,0.1300393102991744,0.0,easy
Academic Articles,space,0,2221,0.48709639959521256,0.0,easy
Academic Articles,weather,0,2653,0.45109681651803996,0.14,easy
Academic Articles,research,0,2010,0.3226000418525888,0.26,easy
Academic Articles,infrastructure,0,1190,0.18826219451221454,0.79,hard
Academic Articles,national,0,1525,0.1892082356906679,0.02,easy
Academic Articles,reserved,0,2011,0.09365807666688061,0.55,hard
Academic Articles,preface,0,1809,0.00248786092197748,0.74,hard
Academic Articles,solar,0,2201,0.1770591739101753,0.73,hard
Academic Articles,upper,0,2582,0.012298535319893411,0.41,easy
Academic Articles,atmosphere,0,187,0.028381235353600185,0.28,easy
Academic Articles,affect,0,64,0.012298535319893411,0.49,easy
Academic Articles,technological,0,2403,0.013244576498346754,0.77,hard
Academic Articles,human,0,1126,0.010406452962986734,0.0,easy
Academic Articles,life,0,1336,0.0009460411784533395,0.0,easy
Academic Articles,endeavor,0,782,0.00124393046098874,0.67,hard
Academic Articles,affecting,0,66,0.006622288249173377,0.72,hard
Academic Articles,disrupt,0,675,0.0009460411784533395,0.72,hard
Academic Articles,radio,0,1920,0.012489651271672116,0.22,easy
Academic Articles,navigational,0,1533,0.00124393046098874,0.83,hard
Academic Articles,satellite,0,2078,0.03379552697040691,0.65,hard
Academic Articles,timing,0,2461,0.00497572184395496,0.65,hard
Academic Articles,electric,0,751,0.021758947104426808,0.24,easy
Academic Articles,power,0,1794,0.013959022009515895,0.0,easy
Academic Articles,delivery,0,592,0.00497572184395496,0.51,easy
Academic Articles,socioeconomic,0,2198,0.00124393046098874,0.83,hard
Academic Articles,effect,0,739,0.0271833586501099,0.0,easy
Academic Articles,resulting,0,2026,0.002938741475687557,0.63,hard
Academic Articles,health,0,1092,0.00124393046098874,0.36,easy
Academic Articles,risk,0,2048,0.011352494141440073,0.33,easy
Academic Articles,flight,0,951,0.014190617676800093,0.09,easy
Academic Articles,recent,0,1955,0.011754965902750228,0.03,easy
Academic Articles,executive,0,849,0.0062196523049437005,0.38,easy
Academic Articles,legislative,0,1328,0.00124393046098874,0.62,hard
Academic Articles,worked,0,2687,0.00248786092197748,0.17,easy
Academic Articles,toward,0,2478,0.007568329427626716,0.01,easy
Academic Articles,strengthening,0,2308,0.0009460411784533395,0.73,hard
Academic Articles,security,0,2108,0.003784164713813358,0.11,easy
Academic Articles,economy,0,730,0.00124393046098874,0.26,easy
Academic Articles,white,0,2673,0.01741502645384236,0.0,easy
Academic Articles,house,0,1123,0.00248786092197748,0.0,easy
Academic Articles,strategy,0,2303,0.012298535319893411,0.69,hard
Academic Articles,action,0,32,0.006622288249173377,0.0,easy
Academic Articles,plan,0,1756,0.008514370606080054,0.02,easy
Academic Articles,strategic,0,2301,0.00497572184395496,0.69,hard
Academic Articles,nation,0,1524,0.00124393046098874,0.01,easy
Academic Articles,provided,0,1883,0.01119537414889866,0.28,easy
Academic Articles,guidance,0,1071,0.0037317913829662203,0.56,hard
Academic Articles,mitigation,0,1484,0.01741502645384236,0.78,hard
Academic Articles,law,0,1313,0.00248786092197748,0.0,easy
Academic Articles,act,0,31,0.01990288737581984,0.0,easy
Academic Articles,sap,0,2077,0.00124393046098874,0.65,hard
Academic Articles,relevant,0,1991,0.021146817836808583,0.72,hard
Academic Articles,federal,0,917,0.005676247070720036,0.36,easy
Academic Articles,directed,0,649,0.0007346853689218892,0.13,easy
Academic Articles,transition,0,2494,0.01119537414889866,0.55,hard
Academic Articles,accurate,0,22,0.01608270003370677,0.64,hard
Academic Articles,aeronautics,0,63,0.013683235070876138,0.79,hard
Academic Articles,oceanic,0,1610,0.012298535319893411,0.73,hard
Academic Articles,atmospheric,0,188,0.04067977067349359,0.78,hard
Academic Articles,administration,0,51,0.01608270003370677,0.27,easy
Academic Articles,science,0,2094,0.1419061767680009,0.04,easy
Academic Articles,foundation,0,980,0.008514370606080054,0.58,hard
Academic Articles,examine,0,843,0.007463582765932441,0.61,hard
Academic Articles,operational,0,1627,0.07000704720554712,0.71,hard
Academic Articles,storm,0,2298,0.021305875698734787,0.38,easy
Academic Articles,frequently,0,986,0.00248786092197748,0.45,easy
Academic Articles,meteorological,0,1458,0.0062196523049437005,0.86,hard
Academic Articles,society,0,2197,0.003784164713813358,0.02,easy
Academic Articles,order,0,1638,0.00124393046098874,0.0,easy
Academic Articles,subcommittee,0,2324,0.007463582765932441,0.79,hard
Academic Articles,technology,0,2404,0.015136658855253431,0.55,hard
Academic Articles,council,0,524,0.00870751322692118,0.62,hard
Academic Articles,policy,0,1774,0.010406452962986734,0.04,easy
Academic Articles,across,0,30,0.02571398791226612,0.0,easy
Academic Articles,government,0,1046,0.013244576498346754,0.0,easy
Academic Articles,regarding,0,1976,0.00995144368790992,0.65,hard
Academic Articles,enterprise,0,798,0.00497572184395496,0.55,hard
Academic Articles,potential,0,1790,0.011754965902750228,0.24,easy
Academic Articles,measure,0,1441,0.008514370606080054,0.06,easy
Academic Articles,request,0,2007,0.00248786092197748,0.13,easy
Academic Articles,subsequently,0,2329,0.002838123535360018,0.77,hard
Academic Articles,first,0,938,0.017632448854125342,0.0,easy
Academic Articles,workshop,0,2689,0.049757218439549604,0.7,hard
Academic Articles,task,0,2397,0.013683235070876138,0.24,easy
