Document,Word,DocumentIndex,WordIndex,TfidfValue
Academic Articles,future space,0,5433,0.334420146669123
Academic Articles,space weather,0,12586,0.6557978714396121
Academic Articles,weather research,0,14831,0.29256852863789257
Academic Articles,research infrastructure,0,11264,0.3475346622247749
Academic Articles,infrastructure national,0,6540,0.22294676444608202
Academic Articles,national reserved,0,8381,0.21420375407564743
Academic Articles,reserved preface,0,11327,0.004371505185217294
Academic Articles,preface space,0,10137,0.004371505185217294
Academic Articles,weather solar,0,14848,0.006649284741770285
Academic Articles,solar space,0,12389,0.009973927112655427
Academic Articles,space upper,0,12585,0.006557257777825942
Academic Articles,upper atmosphere,0,14281,0.01496089066898314
Academic Articles,atmosphere affect,0,1006,0.004371505185217294
Academic Articles,affect technological,0,433,0.002185752592608647
Academic Articles,technological human,0,13552,0.002185752592608647
Academic Articles,human life,0,6115,0.002185752592608647
Academic Articles,life endeavor,0,7279,0.002185752592608647
Academic Articles,endeavor affecting,0,3986,0.002185752592608647
Academic Articles,affecting technological,0,443,0.002185752592608647
Academic Articles,technological space,0,13555,0.0016623211854425713
Academic Articles,weather disrupt,0,14684,0.0016623211854425713
Academic Articles,disrupt radio,0,3466,0.0016623211854425713
Academic Articles,radio navigational,0,10727,0.002185752592608647
Academic Articles,navigational satellite,0,8415,0.002185752592608647
Academic Articles,satellite timing,0,11599,0.002185752592608647
Academic Articles,timing electric,0,13841,0.002185752592608647
Academic Articles,electric power,0,3859,0.011636248298098001
Academic Articles,power delivery,0,10042,0.002185752592608647
Academic Articles,delivery socioeconomic,0,3161,0.002185752592608647
Academic Articles,socioeconomic effect,0,12267,0.002185752592608647
Academic Articles,effect resulting,0,3766,0.002185752592608647
Academic Articles,resulting space,0,11405,0.002185752592608647
Academic Articles,weather health,0,14733,0.002185752592608647
Academic Articles,health risk,0,5915,0.002185752592608647
Academic Articles,risk flight,0,11458,0.002185752592608647
Academic Articles,flight recent,0,5029,0.002185752592608647
Academic Articles,recent executive,0,10887,0.002185752592608647
Academic Articles,executive legislative,0,4457,0.002185752592608647
Academic Articles,legislative worked,0,7248,0.002185752592608647
Academic Articles,worked toward,0,15225,0.002185752592608647
Academic Articles,toward space,0,13910,0.002185752592608647
Academic Articles,weather strengthening,0,14861,0.002185752592608647
Academic Articles,strengthening infrastructure,0,13017,0.002185752592608647
Academic Articles,infrastructure security,0,6558,0.0016623211854425713
Academic Articles,security economy,0,11841,0.002185752592608647
Academic Articles,economy white,0,3705,0.002185752592608647
Academic Articles,white house,0,15015,0.004371505185217294
Academic Articles,house national,0,6055,0.002185752592608647
Academic Articles,national space,0,8387,0.018285533039868285
Academic Articles,weather strategy,0,14860,0.008311605927212857
Academic Articles,strategy action,0,12977,0.008311605927212857
Academic Articles,action plan,0,138,0.009973927112655427
Academic Articles,plan strategic,0,9758,0.002185752592608647
Academic Articles,strategic nation,0,12969,0.002185752592608647
Academic Articles,nation provided,0,8365,0.002185752592608647
Academic Articles,provided guidance,0,10509,0.002185752592608647
Academic Articles,guidance space,0,5877,0.002185752592608647
Academic Articles,research mitigation,0,11275,0.017486020740869176
Academic Articles,mitigation law,0,8094,0.002185752592608647
Academic Articles,law research,0,7177,0.002185752592608647
Academic Articles,research act,0,11217,0.008743010370434588
Academic Articles,act act,0,123,0.002185752592608647
Academic Articles,act sap,0,131,0.002185752592608647
Academic Articles,sap relevant,0,11548,0.002185752592608647
Academic Articles,relevant federal,0,11084,0.004371505185217294
Academic Articles,federal directed,0,4655,0.002185752592608647
Academic Articles,directed transition,0,3368,0.002185752592608647
Academic Articles,transition accurate,0,13979,0.002185752592608647
Academic Articles,accurate space,0,64,0.008311605927212857
Academic Articles,weather national,0,14779,0.01329856948354057
Academic Articles,national national,0,8377,0.006557257777825942
Academic Articles,national aeronautics,0,8367,0.024043278518695116
Academic Articles,aeronautics space,0,414,0.024043278518695116
Academic Articles,space national,0,12544,0.008743010370434588
Academic Articles,national oceanic,0,8378,0.019947854225310854
Academic Articles,oceanic atmospheric,0,9008,0.019947854225310854
Academic Articles,atmospheric administration,0,1050,0.01496089066898314
Academic Articles,administration national,0,378,0.008743010370434588
Academic Articles,national science,0,8384,0.028259460152523713
Academic Articles,science foundation,0,11711,0.01496089066898314
Academic Articles,foundation examine,0,5290,0.004371505185217294
Academic Articles,examine operational,0,4413,0.004371505185217294
Academic Articles,operational research,0,9121,0.004371505185217294
Academic Articles,space administration,0,12494,0.017486020740869176
Academic Articles,administration storm,0,382,0.002185752592608647
Academic Articles,storm space,0,12941,0.004371505185217294
Academic Articles,weather frequently,0,14723,0.002185752592608647
Academic Articles,frequently meteorological,0,5343,0.002185752592608647
Academic Articles,meteorological society,0,7948,0.002185752592608647
Academic Articles,society space,0,12266,0.004371505185217294
Academic Articles,weather order,0,14794,0.002185752592608647
Academic Articles,order subcommittee,0,9209,0.002185752592608647
Academic Articles,subcommittee national,0,13076,0.006557257777825942
Academic Articles,science technology,0,11760,0.010928762963043237
Academic Articles,technology council,0,13560,0.008743010370434588
Academic Articles,council white,0,2554,0.002185752592608647
Academic Articles,house technology,0,6056,0.002185752592608647
Academic Articles,technology policy,0,13567,0.004371505185217294
Academic Articles,policy across,0,9893,0.002185752592608647
Academic Articles,across federal,0,98,0.002185752592608647
Academic Articles,federal government,0,4658,0.0033246423708851425
Academic Articles,government regarding,0,5733,0.002185752592608647
Academic Articles,regarding space,0,10965,0.002185752592608647
Academic Articles,space future,0,12526,0.004371505185217294
Academic Articles,weather enterprise,0,14697,0.008743010370434588
Academic Articles,enterprise potential,0,4118,0.004371505185217294
Academic Articles,potential future,0,10001,0.004371505185217294
Academic Articles,future measure,0,5422,0.002185752592608647
Academic Articles,measure future,0,7865,0.002185752592608647
Academic Articles,future request,0,5428,0.002185752592608647
Academic Articles,request subsequently,0,11168,0.002185752592608647
Academic Articles,subsequently first,0,13084,0.002185752592608647
Academic Articles,first workshop,0,4929,0.002185752592608647
Academic Articles,workshop task,0,15257,0.004371505185217294
Academic Articles,task state,0,13521,0.002185752592608647
Academic Articles,state workshop,0,12793,0.002185752592608647
Academic Articles,workshop weather,0,15260,0.004371505185217294
Academic Articles,weather measurement,0,14772,0.006557257777825942
Academic Articles,measurement continuity,0,7885,0.002185752592608647
Academic Articles,continuity need,0,2383,0.004371505185217294
Academic Articles,need following,0,8481,0.004371505185217294
Academic Articles,following workshop,0,5135,0.002185752592608647
Academic Articles,workshop workshop,0,15261,0.004371505185217294
Academic Articles,workshop research,0,15252,0.004371505185217294
Academic Articles,research agenda,0,11218,0.004371505185217294
Academic Articles,agenda cause,0,467,0.002185752592608647
Academic Articles,cause space,0,1641,0.004371505185217294
Academic Articles,weather specifically,0,14855,0.004371505185217294
Academic Articles,specifically committee,0,12639,0.002185752592608647
Academic Articles,committee examine,0,2021,0.002185752592608647
Academic Articles,examine international,0,4412,0.008743010370434588
Academic Articles,international data,0,6764,0.008743010370434588
Academic Articles,data future,0,2873,0.013114515555651884
Academic Articles,weather review,0,14834,0.008743010370434588
Academic Articles,review research,0,11418,0.008743010370434588
Academic Articles,research consider,0,11235,0.006557257777825942
Academic Articles,consider adequacy,0,2299,0.008743010370434588
Academic Articles,adequacy relevant,0,364,0.008743010370434588
Academic Articles,relevant across,0,11080,0.008743010370434588
Academic Articles,across living,0,104,0.008743010370434588
Academic Articles,living program,0,7444,0.008743010370434588
Academic Articles,program space,0,10379,0.010928762963043237
Academic Articles,weather science,0,14837,0.0459008044447816
Academic Articles,science application,0,11685,0.026229031111303768
Academic Articles,application initiative,0,726,0.008743010370434588
Academic Articles,initiative research,0,6607,0.002185752592608647
Academic Articles,research reaching,0,11293,0.008743010370434588
Academic Articles,reaching consider,0,10840,0.008743010370434588
Academic Articles,consider need,0,2303,0.004371505185217294
Academic Articles,need weather,0,8526,0.006557257777825942
Academic Articles,weather modeling,0,14777,0.010928762963043237
Academic Articles,modeling validation,0,8207,0.03497204148173835
Academic Articles,validation assimilation,0,14375,0.004371505185217294
Academic Articles,assimilation ensemble,0,922,0.006557257777825942
Academic Articles,ensemble consider,0,4094,0.002185752592608647
Academic Articles,consider data,0,2300,0.008743010370434588
Academic Articles,data operational,0,2933,0.006557257777825942
Academic Articles,operational assess,0,9085,0.008743010370434588
Academic Articles,assess value,0,891,0.008743010370434588
Academic Articles,value need,0,14403,0.008743010370434588
Academic Articles,need providing,0,8506,0.002185752592608647
Academic Articles,providing research,0,10525,0.004371505185217294
Academic Articles,research forecasting,0,11253,0.008743010370434588
Academic Articles,forecasting take,0,5252,0.002185752592608647
Academic Articles,take account,0,13483,0.004371505185217294
Academic Articles,account space,0,44,0.004371505185217294
Academic Articles,science gap,0,11714,0.004371505185217294
Academic Articles,gap analysis,0,5448,0.032786288889129704
Academic Articles,analysis space,0,649,0.004986963556327714
Academic Articles,application program,0,729,0.013114515555651884
Academic Articles,program report,0,10376,0.002185752592608647
Academic Articles,report science,0,11152,0.002185752592608647
Academic Articles,science identify,0,11718,0.004371505185217294
Academic Articles,identify key,0,6133,0.004371505185217294
Academic Articles,key research,0,6992,0.006557257777825942
Academic Articles,infrastructure virtually,0,6570,0.002185752592608647
Academic Articles,virtually travel,0,14529,0.002185752592608647
Academic Articles,travel research,0,14004,0.002185752592608647
Academic Articles,research need,0,11279,0.028414783703912417
Academic Articles,need data,0,8472,0.015300268148260531
Academic Articles,data science,0,2980,0.04808655703739023
Academic Articles,science observational,0,11736,0.002185752592608647
Academic Articles,observational modeling,0,8927,0.008743010370434588
Academic Articles,modeling need,0,8189,0.04371505185217295
Academic Articles,need space,0,8515,0.016623211854425713
Academic Articles,research community,0,11232,0.010928762963043237
Academic Articles,community need,0,2093,0.004371505185217294
Academic Articles,need project,0,8505,0.002185752592608647
Academic Articles,project space,0,10391,0.002185752592608647
Academic Articles,weather opera,0,14790,0.004371505185217294
Academic Articles,opera research,0,9073,0.004371505185217294
Academic Articles,infrastructure workshop,0,6574,0.010928762963043237
Academic Articles,workshop pool,0,15246,0.002185752592608647
Academic Articles,pool workshop,0,9905,0.002185752592608647
Academic Articles,workshop provided,0,15249,0.002185752592608647
Academic Articles,provided committee,0,10505,0.002185752592608647
Academic Articles,committee workshop,0,2030,0.002185752592608647
Academic Articles,workshop committee,0,15234,0.002185752592608647
Academic Articles,committee guide,0,2023,0.002185752592608647
Academic Articles,guide workshop,0,5878,0.002185752592608647
Academic Articles,task statement,0,13522,0.002185752592608647
Academic Articles,statement session,0,12796,0.002185752592608647
Academic Articles,session committee,0,11935,0.002185752592608647
Academic Articles,committee present,0,2028,0.002185752592608647
Academic Articles,present around,0,10148,0.002185752592608647
Academic Articles,around workshop,0,861,0.002185752592608647
Academic Articles,workshop agenda,0,15230,0.002185752592608647
Academic Articles,agenda clarity,0,468,0.002185752592608647
Academic Articles,clarity conciseness,0,1834,0.002185752592608647
Academic Articles,conciseness chapter,0,2246,0.002185752592608647
Academic Articles,chapter workshop,0,1797,0.002185752592608647
Academic Articles,workshop provide,0,15248,0.002185752592608647
Academic Articles,provide direct,0,10476,0.002185752592608647
Academic Articles,direct task,0,3361,0.002185752592608647
Academic Articles,task national,0,13517,0.002185752592608647
Academic Articles,national engineering,0,8370,0.019671773333477825
Academic Articles,engineering medicine,0,4041,0.019671773333477825
Academic Articles,medicine future,0,7911,0.006557257777825942
Academic Articles,workshop national,0,15244,0.006557257777825942
Academic Articles,national press,0,8379,0.013114515555651884
Academic Articles,press national,0,10181,0.004371505185217294
Academic Articles,medicine space,0,7913,0.004371505185217294
Academic Articles,workshop future,0,15240,0.004371505185217294
Academic Articles,reserved space,0,11331,0.019671773333477825
Academic Articles,weather operation,0,14791,0.002185752592608647
Academic Articles,operation however,0,9081,0.002185752592608647
Academic Articles,however several,0,6095,0.002185752592608647
Academic Articles,several expressed,0,11965,0.002185752592608647
Academic Articles,expressed need,0,4518,0.002185752592608647
Academic Articles,need advance,0,8460,0.002185752592608647
Academic Articles,advance international,0,385,0.002185752592608647
Academic Articles,international infrastructure,0,6766,0.002185752592608647
Academic Articles,infrastructure finally,0,6521,0.004371505185217294
Academic Articles,finally development,0,4868,0.002185752592608647
Academic Articles,development explicitly,0,3282,0.002185752592608647
Academic Articles,explicitly infrastructure,0,4497,0.002185752592608647
Academic Articles,infrastructure need,0,6541,0.004371505185217294
