Document,Word,WordDifficultyScore,WordDifficulty
Academic Articles,future,0.0,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,research,0.26,easy
Academic Articles,infrastructure,0.79,hard
Academic Articles,national,0.02,easy
Academic Articles,reserved,0.55,hard
Academic Articles,preface,0.74,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,solar,0.73,hard
Academic Articles,space,0.0,easy
Academic Articles,upper,0.41,easy
Academic Articles,atmosphere,0.28,easy
Academic Articles,affect,0.49,easy
Academic Articles,technological,0.77,hard
Academic Articles,human,0.0,easy
Academic Articles,life,0.0,easy
Academic Articles,endeavor,0.67,hard
Academic Articles,affecting,0.72,hard
Academic Articles,technological,0.77,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,disrupt,0.72,hard
Academic Articles,radio,0.22,easy
Academic Articles,navigational,0.83,hard
Academic Articles,satellite,0.65,hard
Academic Articles,timing,0.65,hard
Academic Articles,electric,0.24,easy
Academic Articles,power,0.0,easy
Academic Articles,delivery,0.51,easy
Academic Articles,socioeconomic,0.83,hard
Academic Articles,effect,0.0,easy
Academic Articles,resulting,0.63,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,health,0.36,easy
Academic Articles,risk,0.33,easy
Academic Articles,flight,0.09,easy
Academic Articles,recent,0.03,easy
Academic Articles,executive,0.38,easy
Academic Articles,legislative,0.62,hard
Academic Articles,worked,0.17,easy
Academic Articles,toward,0.01,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,strengthening,0.73,hard
Academic Articles,infrastructure,0.79,hard
Academic Articles,security,0.11,easy
Academic Articles,economy,0.26,easy
Academic Articles,white,0.0,easy
Academic Articles,house,0.0,easy
Academic Articles,national,0.02,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,strategy,0.69,hard
Academic Articles,action,0.0,easy
Academic Articles,plan,0.02,easy
Academic Articles,strategic,0.69,hard
Academic Articles,nation,0.01,easy
Academic Articles,provided,0.28,easy
Academic Articles,guidance,0.56,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,research,0.26,easy
Academic Articles,mitigation,0.78,hard
Academic Articles,law,0.0,easy
Academic Articles,research,0.26,easy
Academic Articles,act,0.0,easy
Academic Articles,act,0.0,easy
Academic Articles,sap,0.65,hard
Academic Articles,relevant,0.72,hard
Academic Articles,federal,0.36,easy
Academic Articles,directed,0.13,easy
Academic Articles,transition,0.55,hard
Academic Articles,accurate,0.64,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,national,0.02,easy
Academic Articles,national,0.02,easy
Academic Articles,aeronautics,0.79,hard
Academic Articles,space,0.0,easy
Academic Articles,national,0.02,easy
Academic Articles,oceanic,0.73,hard
Academic Articles,atmospheric,0.78,hard
Academic Articles,administration,0.27,easy
Academic Articles,national,0.02,easy
Academic Articles,science,0.04,easy
Academic Articles,foundation,0.58,hard
Academic Articles,examine,0.61,hard
Academic Articles,operational,0.71,hard
Academic Articles,research,0.26,easy
Academic Articles,infrastructure,0.79,hard
Academic Articles,national,0.02,easy
Academic Articles,aeronautics,0.79,hard
Academic Articles,space,0.0,easy
Academic Articles,administration,0.27,easy
Academic Articles,storm,0.38,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,frequently,0.45,easy
Academic Articles,meteorological,0.86,hard
Academic Articles,society,0.02,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,order,0.0,easy
Academic Articles,subcommittee,0.79,hard
Academic Articles,national,0.02,easy
Academic Articles,science,0.04,easy
Academic Articles,technology,0.55,hard
Academic Articles,council,0.62,hard
Academic Articles,white,0.0,easy
Academic Articles,house,0.0,easy
Academic Articles,technology,0.55,hard
Academic Articles,policy,0.04,easy
Academic Articles,across,0.0,easy
Academic Articles,federal,0.36,easy
Academic Articles,government,0.0,easy
Academic Articles,regarding,0.65,hard
Academic Articles,space,0.0,easy
Academic Articles,future,0.0,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,research,0.26,easy
Academic Articles,infrastructure,0.79,hard
Academic Articles,national,0.02,easy
Academic Articles,reserved,0.55,hard
Academic Articles,preface,0.74,hard
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,enterprise,0.55,hard
Academic Articles,potential,0.24,easy
Academic Articles,future,0.0,easy
Academic Articles,measure,0.06,easy
Academic Articles,future,0.0,easy
Academic Articles,request,0.13,easy
Academic Articles,subsequently,0.77,hard
Academic Articles,first,0.0,easy
Academic Articles,workshop,0.7,hard
Academic Articles,task,0.24,easy
Academic Articles,state,0.0,easy
Academic Articles,workshop,0.7,hard
Academic Articles,weather,0.14,easy
Academic Articles,measurement,0.72,hard
Academic Articles,continuity,0.72,hard
Academic Articles,need,0.0,easy
Academic Articles,following,0.03,easy
Academic Articles,workshop,0.7,hard
Academic Articles,workshop,0.7,hard
Academic Articles,research,0.26,easy
Academic Articles,agenda,0.71,hard
Academic Articles,cause,0.0,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,specifically,0.68,hard
Academic Articles,committee,0.24,easy
Academic Articles,examine,0.61,hard
Academic Articles,international,0.26,easy
Academic Articles,data,0.13,easy
Academic Articles,future,0.0,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,review,0.06,easy
Academic Articles,research,0.26,easy
Academic Articles,consider,0.12,easy
Academic Articles,adequacy,0.79,hard
Academic Articles,relevant,0.72,hard
Academic Articles,across,0.0,easy
Academic Articles,living,0.0,easy
Academic Articles,program,0.0,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,science,0.04,easy
Academic Articles,application,0.16,easy
Academic Articles,initiative,0.65,hard
Academic Articles,research,0.26,easy
Academic Articles,reaching,0.6,hard
Academic Articles,consider,0.12,easy
Academic Articles,need,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,modeling,0.73,hard
Academic Articles,validation,0.79,hard
Academic Articles,assimilation,0.75,hard
Academic Articles,ensemble,0.61,hard
Academic Articles,consider,0.12,easy
Academic Articles,data,0.13,easy
Academic Articles,operational,0.71,hard
Academic Articles,assess,0.69,hard
Academic Articles,value,0.01,easy
Academic Articles,need,0.0,easy
Academic Articles,providing,0.6,hard
Academic Articles,research,0.26,easy
Academic Articles,forecasting,0.77,hard
Academic Articles,take,0.0,easy
Academic Articles,account,0.03,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,science,0.04,easy
Academic Articles,gap,0.57,hard
Academic Articles,analysis,0.41,easy
Academic Articles,space,0.0,easy
Academic Articles,weather,0.14,easy
Academic Articles,science,0.04,easy
Academic Articles,application,0.16,easy
Academic Articles,program,0.0,easy
Academic Articles,report,0.06,easy
Academic Articles,science,0.04,easy
Academic Articles,identify,0.55,hard
Academic Articles,key,0.0,easy
Academic Articles,research,0.26,easy
Academic Articles,infrastructure,0.79,hard
Academic Articles,virtually,0.56,hard
Academic Articles,travel,0.27,easy
Academic Articles,research,0.26,easy
Academic Articles,need,0.0,easy
Academic Articles,data,0.13,easy
Academic Articles,science,0.04,easy
Academic Articles,observational,0.82,hard
Academic Articles,modeling,0.73,hard
Academic Articles,need,0.0,easy
