Date_Number,Begin_Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu),0000,0300,0600,0900,1200,1500,1800,2100,Kp_Sum,Kp_Class,Flare_Class,Proton_class
19760430,197604302120,1976 04/30 2120,1976,4,30,2120,,2B 4/30 2114,,,,197605011700.0,1976 05/01 1700,1976,5,1,1700.0,X2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19770919,197709191430,1977 09/19 1430,1977,9,19,1430,197709191054.0,3B 09/19 1054,9.0,19.0,1054.0,197709192130.0,1977 09/19 2130,1977,9,19,2130.0,X2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19771122,197711221400,1977 11/22 1400,1977,11,22,1400,197711221006.0,2N 11/22 1006,11.0,22.0,1006.0,197711221800.0,1977 11/22 1800,1977,11,22,1800.0,X1,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19780213,197802130930,1978 02/13 0930,1978,2,13,930,197802130255.0,0B 02/13 0255,2.0,13.0,255.0,197802141000.0,1978 02/14 1000,1978,2,14,1000.0,M7,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0
19780411,197804111530,1978 04/11 1530,1978,4,11,1530,,2B 0411 1353,,,,197804111630.0,1978 04/11 1630,1978,4,11,1630.0,X2,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19780429,197804290445,1978 04/29 0445,1978,4,29,445,197804281306.0,4B 04/28 1306,4.0,28.0,1306.0,197804302000.0,1978 04/30 2000,1978,4,30,2000.0,X5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19780507,197805070420,1978 05/07 0420,1978,5,7,420,197805070330.0,2B 05/07 0330,5.0,7.0,330.0,197805070420.0,1978 05/07 0420,1978,5,7,420.0,X2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19780602,197806020730,1978 06/02 0730,1978,6,2,730,197805311009.0,2B 05/31 1009,5.0,31.0,1009.0,197806020935.0,1978 06/02 0935,1978,6,2,935.0,M5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19780624,197806240900,1978 06/24 0900,1978,6,24,900,197806221709.0,3B 06/22 1709,6.0,22.0,1709.0,197806250230.0,1978 06/25 0230,1978,6,25,230.0,M2,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19780713,197807130300,1978 07/13 0300,1978,7,13,300,,,,,,197807131000.0,1978 07/13 1000,1978,7,13,1000.0,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19780923,197809231035,1978 09/23 1035,1978,9,23,1035,197809231023.0,3B 09/23 1023,9.0,23.0,1023.0,197809240400.0,1978 09/24 0400,1978,9,24,400.0,X1,2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19781110,197811102130,1978 11/10 2130,1978,11,10,2130,197811100042.0,2N 11/10 0042,11.0,10.0,42.0,197811102205.0,1978 11/10 2205,1978,11,10,2205.0,M1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19790217,197902172020,1979 02/17 2020,1979,2,17,2020,197902160200.0,2B 02/16 0200,2.0,16.0,200.0,197902172205.0,1979 02/17 2205,1979,2,17,2205.0,X2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19790403,197904031600,1979 04/03 1600,1979,4,3,1600,,,,,,197904032310.0,1979 04/03 2310,1979,4,3,2310.0,,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19790606,197906061850,1979 06/06 1850,1979,6,6,1850,197906050529.0,1N 06/05 0529,6.0,5.0,529.0,197906070005.0,1979 06/07 0005,1979,6,7,5.0,X2,950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19790707,197907070015,1979 07/07 0015,1979,7,7,15,,,,,,,1979 07/07/1010,1979,7,7,,,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19790819,197908190850,1979 08/19 0850,1979,8,19,850,197908181416.0,1B 08/18 1416,8.0,18.0,1416.0,197908210740.0,1979 08/21 0740,1979,8,21,740.0,X6,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19790915,197909151500,1979 09/15 1500,1979,9,15,1500,197909140802.0,N/A 09/14 0802,9.0,14.0,802.0,197909161200.0,1979 09/16 1200,1979,9,16,1200.0,X2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19791116,197911160430,1979 11/16 0430,1979,11,16,430,197911151639.0,0B 11/15 1639,11.0,15.0,1639.0,197911161300.0,1979 11/16 1300,1979,11,16,1300.0,M1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19800206,198002061340,1980 02/06 1340,1980,2,6,1340,,,,,,198002061850.0,1980 02/06 1850,1980,2,6,1850.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19800717,198007172300,1980 07/17 2300,1980,7,17,2300,198007170603.0,1B 07/17 0603,7.0,17.0,603.0,198007191930.0,1980 07/19 1930,1980,7,19,1930.0,M3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19810330,198103300900,1981 03/30 0900,1981,3,30,900,198103300049.0,2N 03/30 0049,3.0,30.0,49.0,198103302115.0,1981 03/30 2115,1981,3,30,2115.0,M3,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19810410,198104101745,1981 04/10 1745,1981,4,10,1745,198104101655.0,3B 04/10 1655,4.0,10.0,1655.0,198104111400.0,1981 04/11 1400,1981,4,11,1400.0,X2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19810424,198104241515,1981 04/24 1515,1981,4,24,1515,198104241400.0,2B 04/24 1400,4.0,24.0,1400.0,198104242330.0,1981 04/24 2330,1981,4,24,2330.0,X5,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19810509,198105091200,1981 05/09 1200,1981,5,9,1200,198105082252.0,2B 05/08 2252,5.0,8.0,2252.0,198105102130.0,1981 05/10 2130,1981,5,10,2130.0,M7,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0
19810515,198105150300,1981 05/15 0300,1981,5,15,300,198105130425.0,3B 05/13 0425,5.0,13.0,425.0,198105161950.0,1981 05/16 1950,1981,5,16,1950.0,X1,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19810720,198107201430,1981 07/20 1430,1981,7,20,1430,198107201329.0,1B 07/20 1329,7.0,20.0,1329.0,198107201825.0,1981 07/20 1825,1981,7,20,1825.0,M5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0
19810725,198107250600,1981 07/25 0600,1981,7,25,600,,,,,,198107251320.0,1981 07/25 1320,1981,7,25,1320.0,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19810810,198108100115,1981 08/10 0115,1981,8,10,115,198108071916.0,2B 08/07 1916,8.0,7.0,1916.0,198108100435.0,1981 08/10 0435,1981,8,10,435.0,M4,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19811008,198110081235,1981 10/08 1235,1981,10,8,1235,198110072308.0,1B 10/07 2308,10.0,7.0,2308.0,198110132247.0,1981 10/13 2247,1981,10,13,2247.0,X3,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19811210,198112100545,1981 12/10 0545,1981,12,10,545,198112091854.0,3B 12/09 1854,12.0,9.0,1854.0,198112110900.0,1981 12/11 0900,1981,12,11,900.0,M5,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19820131,198201310055,1982 01/31 0055,1982,1,31,55,198201302358.0,3B 01/30 2358,1.0,30.0,2358.0,198201311630.0,1982 01/31 1630,1982,1,31,1630.0,X1,830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19820606,198206060245,1982 06/06 0245,1982,6,6,245,198206031146.0,2B 06/03 1146,6.0,3.0,1146.0,198206060245.0,1982 06/06 0245,1982,6,6,245.0,X8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,
19820609,198206090040,1982 06/09 0040,1982,6,9,40,198206061654.0,3B 06/06 1654,6.0,6.0,1654.0,198206090510.0,1982 06/09 0510,1982,6,9,510.0,X12,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,1.0
19820711,198207110700,1982 07/11 0700,1982,7,11,700,198207090742.0,3B 07/09 0742,7.0,9.0,742.0,198207131615.0,1982 07/13 1615,1982,7,13,1615.0,X9,2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19820722,198207222030,1982 07/22 2030,1982,7,22,2030,198207221734.0,0F 07/22 1734,7.0,22.0,1734.0,198207230220.0,1982 07/23 0220,1982,7,23,220.0,M4,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19820905,198209052205,1982 09/05 2205,1982,9,5,2205,198209040400.0,3N 09/04 0400,9.0,4.0,400.0,198209060100.0,1982 09/06 0100,1982,9,6,100.0,M4,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19821122,198211221940,1982 11/22 1940,1982,11,22,1940,198211221828.0,1N 11/22 1828,11.0,22.0,1828.0,198211222140.0,1982 11/22 2140,1982,11,22,2140.0,M7,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19821126,198211260605,1982 11/26 0605,1982,11,26,605,198211260253.0,2B 11/26 0253,11.0,26.0,253.0,198211261500.0,1982 11/26 1500,1982,11,26,1500.0,X4,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19821208,198212080010,1982 12/08 0010,1982,12,8,10,198212072354.0,1B 12/07 2354,12.0,7.0,2354.0,198212081000.0,1982 12/08 1000,1982,12,8,1000.0,X2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19821217,198212171845,1982 12/17 1845,1982,12,17,1845,198212150202.0,2B 12/15 0202,12.0,15.0,202.0,198212180945.0,1982 12/18 0945,1982,12,18,945.0,X12,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,2.0
19821219,198212191920,1982 12/19 1920,1982,12,19,1920,198212191624.0,2B 12/19 1624,12.0,19.0,1624.0,198212200515.0,1982 12/20 0515,1982,12,20,515.0,M9,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19821227,198212270600,1982 12/27 0600,1982,12,27,600,198212250752.0,1B 12/25 0752,12.0,25.0,752.0,198212271345.0,1982 12/27 1345,1982,12,27,1345.0,X2,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19830203,198302031200,1983 02/03 1200,1983,2,3,1200,198302030619.0,3B 02/03 0619,2.0,3.0,619.0,198302041620.0,1983 02/04 1620,1983,2,4,1620.0,X4,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19830615,198306150435,1983 06/15 0435,1983,6,15,435,,A 06/14,,,,198306151800.0,1983 06/15 1800,1983,6,15,1800.0,N,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19840216,198402160915,1984 02/16 0915,1984,2,16,915,,,,,,198402161005.0,1984 02/16 1005,1984,2,16,1005.0,,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,2.0
19840219,198402191310,1984 02/19 1310,1984,2,19,1310,198402172301.0,2B 02/17 2301,2.0,17.0,2301.0,198402211415.0,1984 02/21 1415,1984,2,21,1415.0,X2,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19840313,198403131440,1984 03/13 1440,1984,3,13,1440,,,,,,198403131450.0,1984 03/13 1450,1984,3,13,1450.0,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
19840314,198403140405,1984 03/14 0405,1984,3,14,405,198403140334.0,1B 03/14 0334,3.0,14.0,334.0,198403140505.0,1984 03/14 0505,1984,3,14,505.0,M2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19840425,198404251330,1984 04/25 1330,1984,4,25,1330,198404250025.0,3B 04/25 0025,4.0,25.0,25.0,198404261420.0,1984 04/26 1420,1984,4,26,1420.0,X13,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,3.0
19840524,198405241045,1984 05/24 1045,1984,5,24,1045,198405221503.0,2B 05/22 1503,5.0,22.0,1503.0,198405241140.0,1984 05/24 1140,1984,5,24,1140.0,M6,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19840531,198405311315,1984 05/31 1315,1984,5,31,1315,198405311142.0,?? 05/31 1142,5.0,31.0,1142.0,198405311415.0,1984 05/31 1415,1984,5,31,1415.0,M1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19850122,198501220415,1985 01/22 0415,1985,1,22,415,198501212350.0,2B 01/21 2350,1.0,21.0,2350.0,198501220550.0,1985 01/22 0550,1985,1,22,550.0,X4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19850425,198504251430,1985 04/25 1430,1985,4,25,1430,198504240935.0,3B 04/24 0935,4.0,24.0,935.0,198504260600.0,1985 04/26 0600,1985,4,26,600.0,X1,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19850709,198507090235,1985 07/09 0235,1985,7,9,235,198507090204.0,1B 07/09 0204,7.0,9.0,204.0,198507090325.0,1985 07/09 0325,1985,7,9,325.0,M2,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19860206,198602060825,1986 02/06 0825,1986,2,6,825,198602060625.0,3B 02/06 0625,2.0,6.0,625.0,198602071730.0,1986 02/07 1730,1986,2,7,1730.0,X1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
