Sentence,Title,SourceTextType,SentimentLabel,SentimentScore
planning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,neutral,0.40903836488723755
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
vii preface space weather has been described as including any and all conditions and events on the sun in the solar wind in nearearth space and in our upper atmosphere that can affect spaceborne and groundbased technological systems and through these human life and endeavor,SpaceWeatherOpsResearch,academicArticle,neutral,0.4439401626586914
affecting technological systems at a globalscale space weather can disrupt highfrequency radio signals satellitebased communications navigational satellite positioning and timing signals spacecraft operations and electric power delivery with cascading socioeconomic effects resulting from these disruptions,SpaceWeatherOpsResearch,academicArticle,neutral,0.4346383213996887
space weather can also present an increased health risk for astronauts as well as aviation flight crews and passengers on transpolar flights,SpaceWeatherOpsResearch,academicArticle,neutral,0.46427345275878906
recent executive and legislative efforts have worked toward improving us preparedness for space weather events and strengthening the infrastructure vital to national security and the economy,SpaceWeatherOpsResearch,academicArticle,negative,0.41230008006095886
notably in march  the white house released the national space weather strategy and action plan nswsap which contained strategic objectives and actions necessary to achieve a space weatherready nation and provided guidance for activities of the space weather operations research and mitigation sworm,SpaceWeatherOpsResearch,academicArticle,positive,0.471137672662735
passage in december of public law  the promoting research and observations of space weather to improve the forecasting of tomorrow act proswift act codified the elements of the nsw sap prescribed the roles and objectives of the relevant federal agencies and directed efforts to improve the transition from research to operations,SpaceWeatherOpsResearch,academicArticle,positive,0.4556027054786682
all these activities speak to the importance of timely and accurate space weather forecasts,SpaceWeatherOpsResearch,academicArticle,positive,0.4260682761669159
in  the national academies was approached by the national aeronautics and space administra tion nasa the national oceanic and atmospheric administration noaa and the national science foundation nsf to organize a workshop that would examine the operational and research infrastructure national aeronautics and space administration  ,SpaceWeatherOpsResearch,academicArticle,positive,0.41445618867874146
what is space weather in solar storm and space weather  frequently asked questions american meteorological society  space weather statementsoftheamsinforcespaceweather,SpaceWeatherOpsResearch,academicArticle,positive,0.40345126390457153
in  an executive order created the sworm subcommittee under the auspices of the national science and technology council nstc of the white house office of science and technology policy ostp in order to coordinate efforts across the federal government regarding space weatherplanning the future space weather operations and research infrastructure proceedings of the phase ii workshop copyright national academy of sciences,SpaceWeatherOpsResearch,academicArticle,positive,0.45623427629470825
all rights reserved,SpaceWeatherOpsResearch,academicArticle,neutral,0.45640063285827637
viii preface that supports the space weather enterprise including an analysis of existing and potential future measure ment gaps and opportunities for future enhancements,SpaceWeatherOpsResearch,academicArticle,positive,0.4819611608982086
this request was subsequently modified to include two workshops the first phase i of which occurred in two parts on june  and september  ,SpaceWeatherOpsResearch,academicArticle,neutral,0.4572637677192688
a proceedings summarizing that workshop was published in ,SpaceWeatherOpsResearch,academicArticle,positive,0.4616890251636505
the phase i workshop was sponsored by noaa in consultation with nasa and nsf,SpaceWeatherOpsResearch,academicArticle,positive,0.4422755837440491
the task state ment for the workshop focused on space weather operations including measurement continuity needs,SpaceWeatherOpsResearch,academicArticle,positive,0.4330158531665802
following the workshop nasa and nsf in consultation with noaa requested a followon workshop phase ii that would focus on the research agenda and observations needed to improve understanding of sunearth interactions that cause space weather,SpaceWeatherOpsResearch,academicArticle,negative,0.37640514969825745
specifically the phase ii workshop organizing committee was asked to ,SpaceWeatherOpsResearch,academicArticle,positive,0.41553863883018494
