Sentence,Title,SourceTextType,SentimentLabel,SentimentScore
the power grid and satellites might be affected and auroras could be visible in northern areas,CombinedMessages,DashboardMessages,neutral,0.4714415669441223
power systems in northern areas might have voltage issues and equipment could be damaged by storms,CombinedMessages,DashboardMessages,neutral,0.49430984258651733
satellites may need direction adjustments,CombinedMessages,DashboardMessages,positive,0.4340767562389374
hf radio signals might weaken and northern lights could be seen as far south as new york and idaho,CombinedMessages,DashboardMessages,neutral,0.5049282312393188
power systems may need voltage fixes and some safety devices could trigger by mistake,CombinedMessages,DashboardMessages,neutral,0.4248902499675751
satellites might build up charge face more drag and need direction adjustments,CombinedMessages,DashboardMessages,neutral,0.4371947646141052
radio signals could cut in and out and northern lights might be visible as far south as illinois and oregon,CombinedMessages,DashboardMessages,neutral,0.49346762895584106
there could be voltage control issues with safety systems mistakenly shutting down parts of the power grid,CombinedMessages,DashboardMessages,neutral,0.4623221457004547
satellites might build up charge have tracking problems and need direction adjustments,CombinedMessages,DashboardMessages,neutral,0.4592006802558899
pipeline currents may occur hf radio signals could be unstable satellite navigation might stop for hours lowfrequency radio could be interrupted and the northern lights might be visible as far south as alabama and california,CombinedMessages,DashboardMessages,neutral,0.44675254821777344
there could be major voltage issues causing power grids to fail and transformers to get damaged,CombinedMessages,DashboardMessages,neutral,0.4997015595436096
satellites might have surface charging direction problems and signal issues,CombinedMessages,DashboardMessages,neutral,0.44459620118141174
pipeline currents can be strong hf radio may not work for one to two days satellite navigation could be affected for days lowfrequency radio may be down for hours and the northern lights might be visible as far south as florida and southern texas,CombinedMessages,DashboardMessages,neutral,0.42703238129615784
hf radio communication and lowfrequency navigation signals may occasionally cut out on the sunlit side of earth hf radio communication and lowfrequency navigation signals may be weak or lost for several minutes on the sunlit side of the earth,CombinedMessages,DashboardMessages,neutral,0.4239904284477234
hf radio communication and lowfrequency navigation signals may be weak or lost for about an hour on the sunlit side of earth hf radio communication lowfrequency navigation signals and satellite navigation may be disrupted on the sunlit side of earth for one to two hours causing positioning errors hf radio communication and lowfrequency navigation signals may be lost on the sunlit side of earth for several hours disrupting contact with ships and planes and causing positioning errors,CombinedMessages,DashboardMessages,neutral,0.44495055079460144
satellite navigation may also experience increased errors which could affect the night side as well,CombinedMessages,DashboardMessages,neutral,0.4858953356742859
hf radio communications may have small issues in polar regions satellite operations may have small disruptions and hf radio signals and navigation in the polar regions could be slightly affected satellites may have small issues like noisy images and lower solar panel power,CombinedMessages,DashboardMessages,neutral,0.46004754304885864
hf radio signals in polar regions may be weak and navigation errors are likely,CombinedMessages,DashboardMessages,neutral,0.4886179268360138
satellites may have memory issues noisy images orientation problems and lower solar panel efficiency,CombinedMessages,DashboardMessages,neutral,0.4481343924999237
hf radio communication in polar regions may be lost and navigation errors happen for several days satellites may stop working have memory issues noisy image data startracker failures and possible solar panel damage,CombinedMessages,DashboardMessages,neutral,0.4720935821533203
hf communication may be lost in the polar regions making navigation very difficult due to position errors,CombinedMessages,DashboardMessages,neutral,0.4674946367740631
