Sentence,Title,SourceTextType,SentimentLabel,SentimentScore
is your cable television on the fritz,MitNews,newsArticle,positive,0.4855043292045593
one explanation scientists suspect may be the weather the weather in space that is,MitNews,newsArticle,neutral,0.4163430631160736
mit researchers are investigating the effects of space weather such as solar flares geomagnetic storms and other forms of electromagnetic radiation on geostationary satellites which provide much of the worlds access to cable television internet services and global communications,MitNews,newsArticle,neutral,0.4469895362854004
geostationary satellites orbit at the same rate as the earths rotation essentially remaining above the same location throughout their lifetimes,MitNews,newsArticle,positive,0.40491434931755066
these satellites are designed to last up to years during which time they may be bombarded by charged particles,MitNews,newsArticle,neutral,0.42878633737564087
most satellites cover sensitive electronics with layers of protective shielding but over time radiation can penetrate and degrade a satellites components and performance,MitNews,newsArticle,neutral,0.4772975742816925
if we can understand how the environment affects these satellites and we can design to improve the satellites to be more tolerant then it would be very beneficial not just in cost but also in efficiency says whitney lohmeyer a graduate student in mits department of aeronautics and astronautics,MitNews,newsArticle,negative,0.4054583013057709
lohmeyer is working with kerri cahoy an assistant professor of aeronautics and astronautics to understand how sensitive components are to the weather conditions in space and how space weather may contribute to failures,MitNews,newsArticle,positive,0.412496417760849
in a paper published in the journal space weather the team analyzed space weather conditions at the time of failures in eight geostationary satellites over years of operation,MitNews,newsArticle,neutral,0.4480719566345215
the researchers found that most of the failures occurred at times of highenergy electron activity during declining phases of the solar cycle,MitNews,newsArticle,neutral,0.48241421580314636
this particle flux the scientists theorize may have accumulated in the satellites over time creating internal charging that damaged their amplifiers key components responsible for strengthening and relaying a signal back to earth,MitNews,newsArticle,neutral,0.47410815954208374
lohmeyer says a better understanding of space weathers effects on satellites is needed not just for current fleets but also for the next generation of communications satellites,MitNews,newsArticle,positive,0.4477699398994446
users are starting to demand more capabilities lohmeyer notes,MitNews,newsArticle,positive,0.4091441035270691
they want to start videostreaming data they want to communicate faster with higher data rates,MitNews,newsArticle,positive,0.4670926332473755
so design is changing along with susceptibilities to space weather and radiation that didnt used to exist but are now becoming a problemspaceweather disconnecttoday engineers design satellites with space weather in mind using radiation models to predict how much radiation a satellite may be exposed to over its lifetime,MitNews,newsArticle,neutral,0.4178924858570099
cahoy notes that a satellites radiation exposure may vary depending on its orbit,MitNews,newsArticle,positive,0.4164161682128906
for instance some orbits are more dangerous than others engineers choose components that can survive and operate in such environments,MitNews,newsArticle,positive,0.41956064105033875
but space weather is a lot more dynamic than models predict and there are many different ways that charged particles can wreak havoc on your satellites electronics cahoy adds,MitNews,newsArticle,neutral,0.4783448874950409
the hard part about satellites is that when something goes wrong you dont get it back to do analysis and figure out what happenedto add another layer of complication lohmeyer points out a disconnect between satellite engineers and spaceweather forecastersthe spaceweather community provides forecasting mechanisms for companies to help them better operate their satellites and they may say spaceweather activity is incredibly high right now were putting out a warning lohmeyer says,MitNews,newsArticle,neutral,0.4399864375591278
but engineers and operators dont really understand what this implieslohmeyers primary goal she says is to bridge the gap between the spaceweather community and satellite engineersreading the space forecastto establish a better understanding of space weathers effects on satellite equipment cahoy and lohmeyer partnered with inmarsat a telecommunications company based in london,MitNews,newsArticle,positive,0.45678722858428955
the researchers analyzed more than  operational hours of telemetry data from eight of the companys satellites including temperature and electriccurrent measurements from the satellites solidstate amplifiers,MitNews,newsArticle,positive,0.42172297835350037
from these data the researchers analyzed scientific spaceweather data coinciding with anomalies from to  the majority of which were considered hard failures unrecoverable failures that may lead to a temporary shutdown of the spacecraft,MitNews,newsArticle,neutral,0.4569825232028961
the team noted the dates and times of each failure and then analyzed the weather conditions leading up to each failure using observations from multiple spaceweather satellites,MitNews,newsArticle,neutral,0.48899438977241516
such observations included solarflare activity and geomagnetic stormsspecifically the researchers analyzed the kp index a measurement of geomagnetic activity that is represented along a scale from zero to nine,MitNews,newsArticle,neutral,0.405466765165329
satellite engineers incorporate the kp index into radiation models to anticipate space conditions for a particular spacecrafts orbit,MitNews,newsArticle,positive,0.4127584397792816
however as the team found most of the amplifier failures occurred during times of low geomagnetic activity with a kp index of three or less a measurement that engineers would normally consider safe,MitNews,newsArticle,neutral,0.4467725157737732
the finding suggests that the kp index may not be the most reliable metric for radiation exposureinstead cahoy and lohmeyer discovered that many amplifiers broke down during times of highenergy electron activity a phenomenon that occurs during the solar cycle in which the suns activity fluctuates over an year period,MitNews,newsArticle,neutral,0.44215911626815796
the flux of highenergy electrons is highest during the declining phase of the solar cycle a period during which most amplifier failures occurred,MitNews,newsArticle,positive,0.42054450511932373
lohmeyer says that over time such highenergy electron activity may penetrate and accumulate inside a satellite causing internal charging that damages amplifiers and other electronics,MitNews,newsArticle,neutral,0.47314152121543884
while most satellites carry backup amplifiers she notes that over an extended mission these amplifiers may also fail,MitNews,newsArticle,neutral,0.4112994968891144
once you get into a year mission you may run out of redundant amplifiers lohmeyer says,MitNews,newsArticle,neutral,0.4139152765274048
if a company has invested over million in a satellite they need to be able to assure that it works for that period of time,MitNews,newsArticle,positive,0.45314183831214905
we really need to improve our method of quantifying and understanding the space environment so we can better improve designdaniel baker a professor of astrophysical and planetary sciences at the university of colorado who was not involved in the research says that in designing satellites for space engineers try to strike a reasonable balance between adequate design against space environmental factors and overdesign that can be immensely expensive and counterproductivethe reality he adds is that there may always be some operational problems because space is a harsh placethat said the mit teams findings will help engineers design more robust satellite systems and components to the betterment of us all who depend on space systems baker saysthis research was supported by inmarsat and by the national science foundation,MitNews,newsArticle,neutral,0.4282851219177246
graphic demonstrating some possible effects of intense solar activity credits nasas goddard space flight centermary pat hrybykkeith open the weather app on your phone or glance at the news and you can quickly find a detailed forecast for the weather in your location,NasaNews,newsArticle,positive,0.42706531286239624
the report is likely to affect your behavior for the day if you put on sandals or snow boots if you exercise indoors or jog around the block if you walk to work or take the bus,NasaNews,newsArticle,neutral,0.4382733404636383
similarly space is full of dynamic weather patterns that can have real effects for life on earth,NasaNews,newsArticle,positive,0.4087226092815399
space weather refers to conditions in the solar system produced by the suns activity,NasaNews,newsArticle,neutral,0.4381042420864105
just as weather is always occurring on earth space weather is ongoing,NasaNews,newsArticle,positive,0.41775381565093994
even without major solar activity satellites and communications systems can be impacted by variability in the density and composition of the nearearth environment,NasaNews,newsArticle,neutral,0.44610774517059326
space isnt empty like we often think said alexa halford space physics researcher at nasas goddard space flight center in greenbelt maryland,NasaNews,newsArticle,positive,0.41982725262641907
the study of space weather is really just trying to understand the space environment around us like we try to understand terrestrial weather,NasaNews,newsArticle,neutral,0.4219205379486084
at its most extreme space weather can disrupt radio communications and endanger astronauts,NasaNews,newsArticle,neutral,0.47326239943504333
in the past activity on the sun has even temporarily caused large electrical blackouts,NasaNews,newsArticle,neutral,0.46402573585510254
but with forecasting and proper preparation these disruptive effects can be largely avoided,NasaNews,newsArticle,neutral,0.45789486169815063
thats why nasa studies space weather conditions ,NasaNews,newsArticle,positive,0.4300948679447174
what kind of weather events occur in space and when are they likely to strike,NasaNews,newsArticle,neutral,0.448076456785202
