Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu)
19760430,1976 04/30 2120,1976,04,30,2120,,2B 4/30 2114,,,,197605011700,1976 05/01 1700,1976,05,01,1700,X2,12
19770919,1977 09/19 1430,1977,09,19,1430,197709191054,3B 09/19 1054,09,19,1054,197709192130,1977 09/19 2130,1977,09,19,2130,X2,200
19771122,1977 11/22 1400,1977,11,22,1400,197711221006,2N 11/22 1006,11,22,1006,197711221800,1977 11/22 1800,1977,11,22,1800,X1,160
19780213,1978 02/13 0930,1978,02,13,0930,197802130255,0B 02/13 0255,02,13,0255,197802141000,1978 02/14 1000,1978,02,14,1000,M7,850
19780411,1978 04/11 1530,1978,04,11,1530,,2B 0411 1353,,,,197804111630,1978 04/11 1630,1978,04,11,1630,X2,65
19780429,1978 04/29 0445,1978,04,29,0445,197804281306,4B 04/28 1306,04,28,1306,197804302000,1978 04/30 2000,1978,04,30,2000,X5,1000
19780507,1978 05/07 0420,1978,05,07,0420,197805070330,2B 05/07 0330,05,07,0330,197805070420,1978 05/07 0420,1978,05,07,0420,X2,100
19780602,1978 06/02 0730,1978,06,02,0730,197805311009,2B 05/31 1009,05,31,1009,197806020935,1978 06/02 0935,1978,06,02,0935,M5,19
19780624,1978 06/24 0900,1978,06,24,0900,197806221709,3B 06/22 1709,06,22,1709,197806250230,1978 06/25 0230,1978,06,25,0230,M2,25
19780713,1978 07/13 0300,1978,07,13,0300,,,,,,197807131000,1978 07/13 1000,1978,07,13,1000,NA,20
19780923,1978 09/23 1035,1978,09,23,1035,197809231023,3B 09/23 1023,09,23,1023,197809240400,1978 09/24 0400,1978,09,24,0400,X1,2200
19781110,1978 11/10 2130,1978,11,10,2130,197811100042,2N 11/10 0042,11,10,0042,197811102205,1978 11/10 2205,1978,11,10,2205,M1,38
19790217,1979 02/17 2020,1979,02,17,2020,197902160200,2B 02/16 0200,02,16,0200,197902172205,1979 02/17 2205,1979,02,17,2205,X2,31
19790403,1979 04/03 1600,1979,04,03,1600,,,,,,197904032310,1979 04/03 2310,1979,04,03,2310,NA,45
19790606,1979 06/06 1850,1979,06,06,1850,197906050529,1N 06/05 0529,06,05,0529,197906070005,1979 06/07 0005,1979,06,07,0005,X2,950
19790707,1979 07/07 0015,1979,07,07,0015,,,,,,,1979 07/07/1010,1979,07,07,,NA,50
19790819,1979 08/19 0850,1979,08,19,0850,197908181416,1B 08/18 1416,08,18,1416,197908210740,1979 08/21 0740,1979,08,21,0740,X6,500
19790915,1979 09/15 1500,1979,09,15,1500,197909140802,N/A 09/14 0802,09,14,0802,197909161200,1979 09/16 1200,1979,09,16,1200,X2,60
19791116,1979 11/16 0430,1979,11,16,0430,197911151639,0B 11/15 1639,11,15,1639,197911161300,1979 11/16 1300,1979,11,16,1300,M1,75
19800206,1980 02/06 1340,1980,02,06,1340,,,,,,198002061850,1980 02/06 1850,1980,02,06,1850,NA,12
19800717,1980 07/17 2300,1980,07,17,2300,198007170603,1B 07/17 0603,07,17,0603,198007191930,1980 07/19 1930,1980,07,19,1930,M3,100
19810330,1981 03/30 0900,1981,03,30,0900,198103300049,2N 03/30 0049,03,30,0049,198103302115,1981 03/30 2115,1981,03,30,2115,M3,30
19810410,1981 04/10 1745,1981,04,10,1745,198104101655,3B 04/10 1655,04,10,1655,198104111400,1981 04/11 1400,1981,04,11,1400,X2,50
19810424,1981 04/24 1515,1981,04,24,1515,198104241400,2B 04/24 1400,04,24,1400,198104242330,1981 04/24 2330,1981,04,24,2330,X5,160
19810509,1981 05/09 1200,1981,05,09,1200,198105082252,2B 05/08 2252,05,08,2252,198105102130,1981 05/10 2130,1981,05,10,2130,M7,150
19810515,1981 05/15 0300,1981,05,15,0300,198105130425,3B 05/13 0425,05,13,0425,198105161950,1981 05/16 1950,1981,05,16,1950,X1,130
19810720,1981 07/20 1430,1981,07,20,1430,198107201329,1B 07/20 1329,07,20,1329,198107201825,1981 07/20 1825,1981,07,20,1825,M5,100
19810725,1981 07/25 0600,1981,07,25,0600,,,,,,198107251320,1981 07/25 1320,1981,07,25,1320,NA,18
19810810,1981 08/10 0115,1981,08,10,0115,198108071916,2B 08/07 1916,08,07,1916,198108100435,1981 08/10 0435,1981,08,10,0435,M4,57
19811008,1981 10/08 1235,1981,10,08,1235,198110072308,1B 10/07 2308,10,07,2308,198110132247,1981 10/13 2247,1981,10,13,2247,X3,2000
19811210,1981 12/10 0545,1981,12,10,0545,198112091854,3B 12/09 1854,12,09,1854,198112110900,1981 12/11 0900,1981,12,11,0900,M5,65
19820131,1982 01/31 0055,1982,01,31,0055,198201302358,3B 01/30 2358,01,30,2358,198201311630,1982 01/31 1630,1982,01,31,1630,X1,830
19820606,1982 06/06 0245,1982,06,06,0245,198206031146,2B 06/03 1146,06,03,1146,198206060245,1982 06/06 0245,1982,06,06,0245,X8,10
19820609,1982 06/09 0040,1982,06,09,0040,198206061654,3B 06/06 1654,06,06,1654,198206090510,1982 06/09 0510,1982,06,09,0510,X12,30
19820711,1982 07/11 0700,1982,07,11,0700,198207090742,3B 07/09 0742,07,09,0742,198207131615,1982 07/13 1615,1982,07,13,1615,X9,2900
19820722,1982 07/22 2030,1982,07,22,2030,198207221734,0F 07/22 1734,07,22,1734,198207230220,1982 07/23 0220,1982,07,23,0220,M4,240
19820905,1982 09/05 2205,1982,09,05,2205,198209040400,3N 09/04 0400,09,04,0400,198209060100,1982 09/06 0100,1982,09,06,0100,M4,66
19821122,1982 11/22 1940,1982,11,22,1940,198211221828,1N 11/22 1828,11,22,1828,198211222140,1982 11/22 2140,1982,11,22,2140,M7,40
19821126,1982 11/26 0605,1982,11,26,0605,198211260253,2B 11/26 0253,11,26,0253,198211261500,1982 11/26 1500,1982,11,26,1500,X4,25
19821208,1982 12/08 0010,1982,12,08,0010,198212072354,1B 12/07 2354,12,07,2354,198212081000,1982 12/08 1000,1982,12,08,1000,X2,1000
19821217,1982 12/17 1845,1982,12,17,1845,198212150202,2B 12/15 0202,12,15,0202,198212180945,1982 12/18 0945,1982,12,18,0945,X12,130
19821219,1982 12/19 1920,1982,12,19,1920,198212191624,2B 12/19 1624,12,19,1624,198212200515,1982 12/20 0515,1982,12,20,0515,M9,85
19821227,1982 12/27 0600,1982,12,27,0600,198212250752,1B 12/25 0752,12,25,0752,198212271345,1982 12/27 1345,1982,12,27,1345,X2,190
19830203,1983 02/03 1200,1983,02,03,1200,198302030619,3B 02/03 0619,02,03,0619,198302041620,1983 02/04 1620,1983,02,04,1620,X4,340
19830615,1983 06/15 0435,1983,06,15,0435,,A 06/14,,,,198306151800,1983 06/15 1800,1983,06,15,1800,N,18
19840216,1984 02/16 0915,1984,02,16,0915,,,,,,198402161005,1984 02/16 1005,1984,02,16,1005,NA,660
19840219,1984 02/19 1310,1984,02,19,1310,198402172301,2B 02/17 2301,02,17,2301,198402211415,1984 02/21 1415,1984,02,21,1415,X2,55
19840313,1984 03/13 1440,1984,03,13,1440,,,,,,198403131450,1984 03/13 1450,1984,03,13,1450,NA,10
19840314,1984 03/14 0405,1984,03,14,0405,198403140334,1B 03/14 0334,03,14,0334,198403140505,1984 03/14 0505,1984,03,14,0505,M2,100
19840425,1984 04/25 1330,1984,04,25,1330,198404250025,3B 04/25 0025,04,25,0025,198404261420,1984 04/26 1420,1984,04,26,1420,X13,2500
19840524,1984 05/24 1045,1984,05,24,1045,198405221503,2B 05/22 1503,05,22,1503,198405241140,1984 05/24 1140,1984,05,24,1140,M6,31
19840531,1984 05/31 1315,1984,05,31,1315,198405311142,?? 05/31 1142,05,31,1142,198405311415,1984 05/31 1415,1984,05,31,1415,M1,14
19850122,1985 01/22 0415,1985,01,22,0415,198501212350,2B 01/21 2350,01,21,2350,198501220550,1985 01/22 0550,1985,01,22,0550,X4,14
19850425,1985 04/25 1430,1985,04,25,1430,198504240935,3B 04/24 0935,04,24,0935,198504260600,1985 04/26 0600,1985,04,26,0600,X1,160
19850709,1985 07/09 0235,1985,07,09,0235,198507090204,1B 07/09 0204,07,09,0204,198507090325,1985 07/09 0325,1985,07,09,0325,M2,140
19860206,1986 02/06 0825,1986,02,06,0825,198602060625,3B 02/06 0625,02,06,0625,198602071730,1986 02/07 1730,1986,02,07,1730,X1,50
19860207,1986 02/07 1310,1986,02,07,1310,198602070913,2B 02/07 0913,02,07,0913,198602071750,1986 02/07 1750,1986,02,07,1750,M5,77
19860214,1986 02/14 1455,1986,02,14,1455,198602140929,1N 02/14 0929,02,14,0929,198602142110,1986 02/14 2110,1986,02,14,2110,M6,111
19860306,1986 03/06 1835,1986,03,06,1835,198603061703,1F 03/06 1703,03,06,1703,198603061930,1986 03/06 1930,1986,03,06,1930,C4,13
19860504,1986 05/04 1835,1986,05,04,1835,,,,,,198605041930,1986 05/04 1930,1986,05,04,1930,NA,16
19871108,1987 11/08 0145,1987,11,08,0145,198711072013,N/A 11/07 2013,11,07,2013,198711080945,1987 11/08 0945,1987,11,08,0945,M1,41
19880103,1988 01/03 0100,1988,01,03,0100,198801022144,3B 01/02 2144,01,02,2144,198801030730,1988 01/03 0730,1988,01,03,0730,X1,32
19880325,1988 03/25 2250,1988,03,25,2250,198803252153,N/A 03/25 2153,03,25,2153,198803252310,1988 03/25 2310,1988,03,25,2310,C4,33
19880630,1988 06/30 1125,1988,06,30,1125,198806300905,2B 06/30 0905,06,30,0905,198806301135,1988 06/30 1135,1988,06,30,1135,M9,12
19880826,1988 08/26 0030,1988,08,26,0030,198808231735,SF 08/23 1735,08,23,1735,198808260045,1988 08/26 0045,1988,08,26,0045,M2,12
19881012,1988 10/12 0920,1988,10,12,0920,,,,,,198810120930,1988 10/12 0930,1988,10,12,0930,NA,12
19881108,1988 11/08 2225,1988,11,08,2225,,,,,,198811090810,1988 11/09 0810,1988,11,09,0810,NA,13
19881114,1988 11/14 0130,1988,11,14,0130,,,,,,198811140310,1988 11/14 0310,1988,11,14,0310,NA,13
19881217,1988 12/17 2220,1988,12,17,2220,198812160845,1B 12/16 0845,12,16,0845,198812180150,1988 12/18 0150,1988,12,18,0150,X4,12
19890104,1989 01/04 2305,1989,01,04,2305,,,,,,198901050130,1989 01/05 0130,1989,01,05,0130,NA,28
19890308,1989 03/08 1755,1989,03,08,1755,198903061406,3B 03/06 1406,03,06,1406,198903100000,1989 03/10 0000,1989,03,10,0000,X15,137
